set_num;name;year;theme_id;theme_name;num_parts;img_url;Price
77048-1;Kapp'n's Island Boat Tour;2024;752;Animal Crossing;233;https://cdn.rebrickable.com/media/sets/77048-1.jpg;29.99
71808-1;Kai's Fire Mech;2024;435;Ninjago;322;https://cdn.rebrickable.com/media/sets/71808-1.jpg;29.99
60406-1;Race Car and Car Carrier Truck;2024;52;City;328;https://cdn.rebrickable.com/media/sets/60406-1.jpg;29.99
43239-1;Mirabel's Photo Frame and Jewelry Box;2024;608;Disney;334;https://cdn.rebrickable.com/media/sets/43239-1.jpg;29.99
31148-1;Retro Roller Skate;2024;672;Creator 3-in-1;342;https://cdn.rebrickable.com/media/sets/31148-1.jpg;29.99
71475-1;Mr. Oz's Space Car;2024;749;Dreamzzz;350;https://cdn.rebrickable.com/media/sets/71475-1.jpg;29.99
42603-1;Stargazing Camping Vehicle;2024;494;Friends;364;https://cdn.rebrickable.com/media/sets/42603-1.jpg;29.99
31156-1;Tropical Ukulele;2024;672;Creator 3-in-1;387;https://cdn.rebrickable.com/media/sets/31156-1.jpg;29.99
31155-1;Hamster House;2024;672;Creator 3-in-1;416;https://cdn.rebrickable.com/media/sets/31155-1.jpg;29.99
31149-1;Flowers in Watering Can;2024;672;Creator 3-in-1;420;https://cdn.rebrickable.com/media/sets/31149-1.jpg;29.99
31158-1;Sea Animals;2024;672;Creator 3-in-1;421;https://cdn.rebrickable.com/media/sets/31158-1.jpg;29.99
71431-1;Bowser's Muscle Car Expansion Set;2024;690;Super Mario;458;https://cdn.rebrickable.com/media/sets/71431-1.jpg;29.99
42167-1;Mack LR Electric Garbage Truck;2024;1;Technic;503;https://cdn.rebrickable.com/media/sets/42167-1.jpg;32.99
76279-1;Spider-Man Race Car & Venom Green Goblin;2024;706;Spider-Man;227;https://cdn.rebrickable.com/media/sets/76279-1.jpg;34.99
76996-1;Knuckles' Guardian Mech;2024;747;Sonic The Hedgehog;276;https://cdn.rebrickable.com/media/sets/76996-1.jpg;34.99
60412-1;4x4 Fire Engine with Rescue Boat;2024;58;Fire;302;https://cdn.rebrickable.com/media/sets/60412-1.jpg;34.99
60417-1;Police Speedboat and Crooks' Hideout;2024;61;Police;311;https://cdn.rebrickable.com/media/sets/60417-1.jpg;34.99
60431-1;Space Explorer Rover and Alien Life;2024;52;City;311;https://cdn.rebrickable.com/media/sets/60431-1.jpg;34.99
42613-1;Heartlake City Hospital Ambulance;2024;494;Friends;344;https://cdn.rebrickable.com/media/sets/42613-1.jpg;34.99
80050-1;Creative Vehicles;2024;693;Monkie Kid;390;https://cdn.rebrickable.com/media/sets/80050-1.jpg;34.99
42178-1;Surface Space Loader;2024;1;Technic;435;https://cdn.rebrickable.com/media/sets/42178-1.jpg;34.99
11037-1;Creative Space Planets;2024;621;Classic;450;https://cdn.rebrickable.com/media/sets/11037-1.jpg;34.99
11034-1;Creative Animals;2024;621;Classic;450;https://cdn.rebrickable.com/media/sets/11034-1.jpg;34.99
71815-1;Kai's Source Dragon Battle;2024;435;Ninjago;120;https://cdn.rebrickable.com/media/sets/71815-1.jpg;37.99
76278-1;Rocket's Warbird vs. Ronan;2024;702;Avengers;290;https://cdn.rebrickable.com/media/sets/76278-1.jpg;37.99
76280-1;Spider-Man vs. Sandman: Final Battle;2024;706;Spider-Man;347;https://cdn.rebrickable.com/media/sets/76280-1.jpg;37.99
76426-1;Hogwarts Castle Boathouse;2024;246;Harry Potter;350;https://cdn.rebrickable.com/media/sets/76426-1.jpg;37.99
21255-1;The Nether Portal Ambush;2024;577;Minecraft;352;https://cdn.rebrickable.com/media/sets/21255-1.jpg;37.99
10421-1;Alphabet Truck;2024;504;Duplo;36;https://cdn.rebrickable.com/media/sets/10421-1.jpg;39.99
76963-1;Baby Dinosaur Rescue Center;2024;602;Jurassic World;139;https://cdn.rebrickable.com/media/sets/76963-1.jpg;39.99
77049-1;Isabelle's House Visit;2024;752;Animal Crossing;389;https://cdn.rebrickable.com/media/sets/77049-1.jpg;39.99
40708-1;Mini Disney Ariel's Castle;2024;579;Disney Princess;557;https://cdn.rebrickable.com/media/sets/40708-1.jpg;39.99
42168-1;John Deere 9700 Forage Harvester;2024;1;Technic;559;https://cdn.rebrickable.com/media/sets/42168-1.jpg;39.99
