part_num;Name;Serial;Price;element_id;design_id;color_id
68196;RIGHT PANEL CURVED 5X13X2, NO. 1;6390394/68196;$2.36;6390394;68196;1
68196;RIGHT PANEL CURVED 5X13X2, NO. 1;6390393/68196;$2.36;6390393;68196;0
67142;LEFT PANEL CURVED 5X13X2, NO. 1;6390392/67142;$2.40;6390392;67142;1
14720;BEAM I -FRAME 3X5 90 DEGR. HOLE Ø4.85;6390379/14720;$0.36;6390379;14720;0
21560;SHOULDER SHELL W.3.20 CONNECTOR;6390377/21560;$0.31;6390377;21560;15
49492;TOOL, NO. 10;6390370/49492;$0.56;6390370;49492;0
67142;LEFT PANEL CURVED 5X13X2, NO. 1;6390391/67142;$2.40;6390391;67142;0
32294;LT SUSPENSION;6390389/65450;$2.50;6390389;65450;25
65487;SINGLE BUSH 2 MODULE, DIA. 4,9;6390390/65487;$0.11;6390390;65487;25
2431;FLAT TILE 1X4;6390369/35371;$0.14;6390369;35371;36
