Name;Pieces;;Price;
The Devourer Showdown;420;The Devourer Showdown-420;44.99;
Passenger Express Train;764;Passenger Express Train-764;189.99;
Flying Ford Anglia;165;Flying Ford Anglia-165;14.99;
Spider-Man Race Car & Venom Green Goblin;227;Spider-Man Race Car & Venom Green Goblin-227;34.99;
Knuckles' Guardian Mech;276;Knuckles' Guardian Mech-276;34.99;
Forbidden Forest: Magical Creatures;172;Forbidden Forest: Magical Creatures-172;29.99;
Ford Mustang Dark Horse Sports Car;344;Ford Mustang Dark Horse Sports Car-344;26.99;
Creative Vehicles;390;Creative Vehicles-390;34.99;
Forest Animals: Red Fox;667;Forest Animals: Red Fox-667;49.99;
Hagrid's Hut: An Unexpected Visit;896;Hagrid's Hut: An Unexpected Visit-896;74.99;
Hamster House;416;Hamster House-416;29.99;
Police Speedboat and Crooks' Hideout;311;Police Speedboat and Crooks' Hideout-311;34.99;
The Crimson Firehawk;136;The Crimson Firehawk-136;49.99;
Stargazing Camping Vehicle;364;Stargazing Camping Vehicle-364;29.99;
Dorrie's Sunken Shipwreck Adventure Expansion Set;500;Dorrie's Sunken Shipwreck Adventure Expansion Set-500;44.99;
Vintage Fashion Store;409;Vintage Fashion Store-409;44.99;
Farm Animal Vet Clinic;170;Farm Animal Vet Clinic-170;29.99;
Creative Space Planets;450;Creative Space Planets-450;34.99;
Alphabet Truck;36;Alphabet Truck-36;39.99;
Heartlake City Shopping Mall;1237;Heartlake City Shopping Mall-1237;119.99;
Hedwig at 4 Privet Drive;337;Hedwig at 4 Privet Drive-337;19.99;
Daily Routines: Eating & Bedtime;28;Daily Routines: Eating & Bedtime-28;29.99;
Hogwarts Castle Boathouse;350;Hogwarts Castle Boathouse-350;37.99;
Hogwarts Castle Owlery;364;Hogwarts Castle Owlery-364;44.99;
Hogwarts Express & Hogsmeade Station;1076;Hogwarts Express & Hogsmeade Station-1076;129.99;
Hogwarts Express - Collectors' Edition;5147;Hogwarts Express - Collectors' Edition-5147;499.99;
Hogwarts Icons Collectors' Edition;3012;Hogwarts Icons Collectors' Edition-3012;299.99;
Ice Cream Shop;296;Ice Cream Shop-296;39.99;
Invisible Hand;557;Invisible Hand-557;49.99;
Isabela's Flowerpot;641;Isabela's Flowerpot-641;39.99;
Isabelle's House Visit;389;Isabelle's House Visit-389;39.99;
Julian's Birthday Party;170;Julian's Birthday Party-170;14.99;
Hub (Battery Box);1;Hub (Battery Box)-1;49.99;
Kai's Fire Mech;322;Kai's Fire Mech-322;29.99;
Kai's Ninja Climber Mech;623;Kai's Ninja Climber Mech-623;69.99;
Kai's Dragon Glider;24;Kai's Dragon Glider-24;9.99;
